Calls,Cost,Prior Purchases,Importance,Discount,Weight (gram),Late
4,177,3,0,44,1233,1
4,216,2,0,59,3088,1
2,183,4,0,48,3374,1
3,176,4,1,10,1177,1
2,184,3,1,46,2484,1
3,162,3,1,12,1417,1
3,250,3,0,3,2371,1
4,233,2,0,48,2804,1
3,150,3,0,11,1861,1
3,164,3,1,29,1187,1
3,189,2,1,12,2888,1
4,232,3,1,32,3253,1
3,198,3,1,1,3667,1
4,275,3,2,29,2602,1
4,152,3,0,43,1009,1
4,227,3,0,45,2707,1
3,143,2,1,6,1194,1
5,227,3,1,36,3952,1
5,239,3,2,18,2495,1
4,145,3,1,45,1059,1
3,161,2,1,38,1521,1
3,232,4,1,51,2899,1
2,156,2,0,2,1750,1
4,211,3,2,12,3922,1
4,251,2,1,28,3561,1
3,225,4,0,29,3496,1
4,172,3,2,24,1066,1
5,162,3,1,31,1435,1
2,234,4,0,44,3134,1
5,183,2,0,36,3819,1
3,266,2,1,38,2741,1
5,257,2,0,61,3341,1
3,223,3,0,22,3795,1
4,234,3,1,4,3261,1
4,227,4,1,22,2460,1
5,149,3,1,44,1811,1
3,137,4,2,62,1477,1
2,181,6,1,16,3605,1
5,215,4,0,56,3905,1
4,269,5,0,45,2383,1
5,227,2,0,15,3798,1
5,139,4,1,61,1265,1
3,137,2,1,38,1647,1
3,174,2,0,44,1556,1
3,151,2,0,29,1328,1
5,210,3,0,9,2944,1
3,169,4,1,32,1245,1
5,160,2,0,32,1576,1
5,190,2,1,9,3753,1
5,216,3,0,40,2146,1
4,183,3,0,37,2042,1
4,141,3,0,22,1735,1
4,165,3,0,44,1320,1
2,170,3,0,41,1128,1
4,203,3,2,12,3539,1
2,246,5,0,46,2437,1
3,238,3,0,61,3096,1
3,193,3,1,29,3453,1
5,141,3,2,41,1367,1
4,150,3,2,17,1923,1
3,221,3,0,64,2794,1
3,179,3,1,52,1158,1
5,105,6,1,62,1292,1
3,177,3,1,61,1880,1
4,261,2,2,49,3045,1
3,202,3,0,49,2881,1
3,109,3,1,15,1710,1
3,158,3,0,6,1878,1
4,231,4,1,6,2512,1
3,206,3,1,39,2929,1
5,187,4,2,14,3849,1
5,230,2,0,2,2229,1
5,232,3,1,33,2998,1
4,215,3,1,21,3984,1
6,238,6,0,13,2442,1
4,266,3,0,23,3775,1
2,158,2,1,36,1788,1
3,113,3,0,43,1518,1
3,223,3,0,18,3959,1
3,257,2,1,56,3711,1
3,180,2,1,49,1942,1
2,132,3,0,18,1759,1
4,217,3,2,26,2875,1
5,162,3,2,31,1364,1
4,197,2,1,40,2710,1
3,197,3,1,13,2148,1
4,185,2,0,44,2910,1
6,278,3,1,3,2974,1
3,229,3,0,49,2339,1
4,186,4,1,57,3880,1
5,174,6,2,41,1085,1
5,286,3,0,18,3163,1
4,175,2,1,7,1188,1
3,219,3,1,17,3387,1
4,213,4,2,35,2343,1
2,235,3,0,57,2034,1
3,149,2,1,18,1225,1
4,271,2,1,8,2401,1
3,144,4,1,5,1104,1
4,145,2,1,21,1617,1
5,143,2,1,59,1837,1
5,227,4,0,53,2624,1
2,213,3,0,29,2732,1
5,144,4,0,37,1658,1
3,218,3,0,3,2255,1
4,144,3,1,59,1588,1
3,238,3,0,17,2624,1
4,216,3,2,26,2053,1
4,238,3,2,55,3257,1
4,141,3,1,47,1250,1
3,158,2,0,2,1284,1
4,239,3,0,65,3679,1
4,175,2,0,25,1816,1
3,263,3,0,41,2817,1
3,168,2,2,50,1616,1
3,176,3,2,36,1779,1
4,150,4,2,60,1024,1
4,265,2,1,31,2326,1
2,263,3,0,5,2947,1
5,145,3,0,20,1387,1
4,183,3,0,33,2741,1
3,205,3,1,19,2167,1
4,160,3,0,64,1714,1
3,252,2,1,48,2102,1
5,222,3,0,10,2280,1
3,203,2,0,25,3607,1
4,220,3,1,40,3516,1
3,147,4,0,60,1722,1
4,200,4,1,16,2060,1
4,224,4,1,21,2026,1
3,179,2,0,17,1364,1
3,144,3,0,50,1865,1
5,247,3,0,17,3889,1
5,280,6,1,51,3582,1
3,168,2,1,1,1829,1
3,157,3,1,4,1889,1
3,189,4,1,51,2208,1
3,162,2,1,7,1739,1
4,207,5,0,48,2399,1
5,237,2,0,10,3860,1
4,264,3,2,59,2020,1
5,149,3,0,51,1645,1
5,162,3,0,41,1462,1
2,205,4,1,63,2156,1
2,158,3,1,51,1540,1
2,248,2,0,46,3707,1
3,191,3,0,23,3750,1
4,146,4,1,24,1844,1
3,135,3,0,56,1490,1
5,149,3,0,40,1062,1
4,220,2,1,7,2551,1
5,98,5,1,44,1269,1
3,97,4,0,32,1238,1
3,183,2,0,53,3932,1
3,162,3,1,8,1869,1
5,114,4,0,47,1443,1
6,275,5,0,41,2491,1
3,203,2,1,39,3845,1
5,205,2,2,65,3671,1
3,149,3,0,63,1946,1
2,112,4,1,56,1138,1
3,207,3,1,56,3482,1
4,261,4,0,58,3427,1
5,274,3,1,6,3375,1
3,141,2,0,52,1692,1
3,166,4,1,17,1498,1
5,141,3,2,34,1020,1
4,152,3,0,43,1709,1
4,250,3,0,53,2478,1
4,161,3,1,28,1809,1
